time,temp2,hum,dew,rain,mean1,dir,rainsum,rainint,press1,rainclass,gust2,road1_surface,road1_freez,road1_status,road1_salt,road2_surface,road2_freez,road2_salt,date,station_id,station_name
23:55,1.7,53,-6.8,1,13.2,277,20.7,0.16,1498.3,1,21.2,-1.7,0.0,411,0.0,-2.0,-1.4,0.4,2023-02-08,F-10,Kambsdalur
23:50,1.5,56,-6.2,1,12.8,275,20.7,0.16,1499.9,1,19.3,-1.9,0.0,411,0.0,-2.1,-1.4,0.4,2023-02-08,F-10,Kambsdalur
23:45,1.4,56,-6.5,1,12.0,279,20.7,0.18,1499.0,1,18.2,-1.9,0.0,411,0.0,-2.0,-1.5,0.4,2023-02-08,F-10,Kambsdalur
23:40,1.4,55,-6.6,1,10.5,290,20.7,0.10,1499.6,1,19.9,-1.7,0.0,411,0.0,-1.9,-1.5,0.5,2023-02-08,F-10,Kambsdalur
23:35,1.2,61,-5.6,1,8.7,293,20.6,0.18,1502.8,1,19.9,-1.4,0.0,411,0.0,-1.6,-1.5,0.5,2023-02-08,F-10,Kambsdalur
23:30,0.6,69,-4.5,1,8.9,289,20.6,0.21,1496.7,1,18.0,-1.1,0.0,411,0.0,-1.4,-1.5,0.5,2023-02-08,F-10,Kambsdalur
23:25,0.2,76,-3.5,1,11.2,285,20.6,0.76,1500.9,1,24.0,-0.9,0.0,411,0.0,-1.3,-1.5,0.5,2023-02-08,F-10,Kambsdalur
23:20,0.4,79,-2.7,1,10.2,270,20.5,0.69,1508.1,1,24.0,-0.8,0.0,411,0.0,-1.3,-1.5,0.5,2023-02-08,F-10,Kambsdalur
23:15,1.6,70,-3.3,1,8.1,251,20.5,0.63,1501.0,1,13.6,-0.9,0.0,411,0.0,-1.3,-1.5,0.5,2023-02-08,F-10,Kambsdalur
23:10,1.6,69,-3.6,1,9.5,247,20.4,0.11,1497.4,1,15.9,-0.9,0.0,411,0.0,-1.3,-1.6,0.5,2023-02-08,F-10,Kambsdalur
23:05,1.5,70,-3.5,1,11.4,250,20.4,0.13,1494.5,1,17.6,-0.9,0.0,411,0.0,-1.3,-1.6,0.5,2023-02-08,F-10,Kambsdalur
23:00,1.6,69,-3.5,1,12.2,249,20.4,0.54,1495.5,1,17.6,-0.9,0.0,411,0.0,-1.3,-1.6,0.5,2023-02-08,F-10,Kambsdalur
22:55,1.9,61,-4.7,1,12.0,255,20.4,0.20,1497.4,1,19.8,-0.9,0.0,411,0.0,-1.3,-1.7,0.5,2023-02-08,F-10,Kambsdalur
22:50,2.0,64,-4.1,1,11.4,263,20.4,0.26,1498.6,1,19.8,-0.8,0.0,411,0.0,-1.2,-1.7,0.6,2023-02-08,F-10,Kambsdalur
22:45,2.2,65,-3.8,1,8.2,271,20.3,0.12,1500.3,1,18.0,-0.8,0.0,411,0.0,-1.3,-1.7,0.6,2023-02-08,F-10,Kambsdalur
22:40,1.9,67,-3.5,1,5.4,282,20.3,0.17,1500.3,1,10.7,-0.8,0.0,411,0.0,-1.3,-1.7,0.6,2023-02-08,F-10,Kambsdalur
22:35,1.5,74,-2.5,1,3.9,276,20.3,0.30,1502.7,1,9.1,-0.9,0.0,411,0.0,-1.3,-1.7,0.6,2023-02-08,F-10,Kambsdalur
22:30,1.4,76,-2.3,1,2.1,279,20.3,0.37,1503.9,1,8.3,-0.9,0.0,411,0.0,-1.4,-1.8,0.6,2023-02-08,F-10,Kambsdalur
22:25,1.2,78,-2.3,1,4.7,302,20.2,2.41,1504.4,2,16.0,-1.0,0.0,411,0.0,-1.4,-1.8,0.6,2023-02-08,F-10,Kambsdalur
22:20,1.7,72,-2.8,1,9.0,283,20.1,0.80,1503.7,1,16.0,-1.0,0.0,411,0.0,-1.5,-1.8,0.6,2023-02-08,F-10,Kambsdalur
22:15,1.8,70,-3.1,1,10.7,259,20.1,0.21,1499.9,1,16.6,-1.1,0.0,411,0.0,-1.6,-2.1,0.6,2023-02-08,F-10,Kambsdalur
22:10,1.7,69,-3.4,1,9.8,260,20.1,0.19,1500.1,1,16.6,-1.2,0.0,411,0.0,-1.6,-2.2,0.6,2023-02-08,F-10,Kambsdalur
22:05,1.6,70,-3.4,1,9.4,268,20.1,0.24,1497.0,1,16.5,-1.4,0.0,411,0.0,-1.7,-2.2,0.6,2023-02-08,F-10,Kambsdalur
22:00,1.6,68,-3.7,1,11.1,269,20.1,0.16,1502.1,1,16.7,-1.5,0.0,411,0.0,-1.8,-2.3,0.7,2023-02-08,F-10,Kambsdalur
21:55,1.6,67,-3.8,1,10.5,264,20.0,0.14,1499.4,1,16.7,-1.7,0.0,411,0.0,-1.8,-2.3,0.7,2023-02-08,F-10,Kambsdalur
21:50,1.4,66,-4.2,1,8.4,263,20.0,0.13,1498.5,1,13.5,-1.7,0.0,411,0.0,-1.8,-2.3,0.7,2023-02-08,F-10,Kambsdalur
21:45,1.5,66,-4.2,1,8.6,264,20.0,0.08,1500.0,1,13.4,-1.6,0.0,411,0.0,-1.7,-2.3,0.7,2023-02-08,F-10,Kambsdalur
